study_id,bias,sd,s2,n_pairs,n_participants,c,is_icu,is_arf,is_lft
Aarrestad 2016,1.73,2.1428571428571423,4.591836734693875,65.0,65.0,1.0,0,0,0
Baulig 2007,-0.375,4.783163265306123,22.87865082257393,273.0,18.0,15.166666666666666,1,0,0
Baulig 2015,2.78,2.2193877551020407,4.925682007496875,233.0,50.0,4.66,0,0,0
Bendjelid 2005,-1.2,6.0,36.0,417.0,55.0,7.581818181818182,1,0,0
Berkenbosch 2001,-0.02,3.2699999999999996,10.692899999999998,82.0,25.0,3.28,0,0,0
Berkenbosch 2002,-2.1,2.6999999999999997,7.289999999999998,100.0,14.0,7.142857142857143,0,0,0
Berlowitz 2011,-4.0,4.591836734693878,21.084964598084134,72.0,6.0,12.0,1,0,0
Bernet 2008,1.05,5.548469387755103,30.785512546855482,82.0,20.0,4.1,0,0,0
Bernet-Buettiker 2005,-3.21,3.071428571428571,9.433673469387754,30.0,30.0,1.0,0,0,0
Bobbia 2015,-1.4,7.704081632653061,59.35287380258225,104.0,90.0,1.1555555555555554,0,1,0
Bolliger 2007 (TOSCA - ICU),-2.175,4.783163283853061,22.878651,49.0,49.0,1.0,1,0,0
Bolliger 2007 (TOSCA - operating theatre),-2.175,5.471938775510203,29.942113962932105,112.0,112.0,1.0,0,0,0
Carter 2001,-0.95,4.1020408163265305,16.826738858808827,79.0,46.0,1.7173913043478262,0,0,0
Chakravarthy 2010,-1.3,3.979591836734694,15.837151187005416,212.0,32.0,6.625,1,0,0
Chhajed 2010,-0.75,3.443877551020408,11.860292586422323,270.0,270.0,1.0,0,0,1
Chhajed 2012,0.15,3.15,9.9225,50.0,40.0,1.25,1,0,0
Cox 2006 (two-lung),-2.2,3.061224489795918,9.371095376926279,19.0,15.0,1.2666666666666666,0,0,0
Cuvelier 2005,0.72,3.0408163265306123,9.246563931695126,48.0,12.0,4.0,0,0,0
DeOliveiraJr 2010,-1.725,3.826530612244898,14.642336526447313,40.0,40.0,1.0,0,0,0
Delerme 2012,1.0,2.346938775510204,5.508121615993335,50.0,48.0,1.0416666666666667,0,1,0
Dion 2015,0.3,4.336734693877551,18.807267805081214,63.0,25.0,2.52,0,0,0
Domingo 2006,1.0,2.5510204081632653,6.507705122865472,130.0,130.0,1.0,0,0,1
Dullenkopf 2003,-0.2625,2.8125,7.91015625,111.0,60.0,1.85,0,0,0
Ekkerkamp 2015,1.1,4.948979591836736,24.4923990004165,100.0,100.0,1.0,0,0,1
Fanelli 2008,-3.8,4.795918367346938,23.00083298625572,56.0,13.0,4.3076923076923075,0,0,0
FerníçndezdeMiguel 2010,0.9,4.489795918367347,20.158267388588087,106.0,12.0,8.833333333333334,0,0,0
Fuke 2009,1.8,3.0102040816326534,9.061328613077887,62.0,9.0,6.888888888888889,0,0,0
Gancel 2011,0.1,3.112244897959184,9.686068304872972,29.0,21.0,1.380952380952381,0,1,0
Griffin 2003,-0.75,2.295918367346939,5.271241149521034,30.0,30.0,1.0,0,0,0
Hazenberg 2011,-3.0,3.3482142857142856,11.210538903061224,15.0,15.0,1.0,0,0,0
Henao-Brasseur 2016,-1.5,4.540816326530613,20.61901291128697,37.0,37.0,1.0,1,0,0
Herrejí_n 2006,0.16,2.4489795918367347,5.99750104123282,30.0,30.0,1.0,0,0,0
Heuss 2004,0.4,3.010204081632653,9.061328613077883,50.0,33.0,1.5151515151515151,0,0,0
Hinkelbein 2008,0.6,7.653061224489796,58.56934610578925,170.0,34.0,5.0,1,0,0
Hirabayashi 2009 (non-ventilated),-0.48,4.183673469387755,17.503123698458975,24.0,24.0,1.0,0,0,0
Hirabayashi 2009 (ventilated),-0.19,2.448979591836735,5.997501041232822,60.0,15.0,4.0,1,0,0
Hirata 2014 (temperature randed 38-42),-5.87,5.091836734693878,25.926801332778012,252.0,48.0,5.25,0,0,0
Janssens 2001,2.8,3.8775510204081636,15.035401915868391,28.0,28.0,1.0,0,0,0
Janssens 2005,-0.09,4.280612244897959,18.323641191170346,40.0,40.0,1.0,0,0,0
Johnson 2008,0.5,4.1,16.81,48.0,38.0,1.263157894736842,1,0,0
Kelly 2011,6.1,8.265306122448981,68.31528529779261,46.0,46.0,1.0,0,1,0
Kim 2014 (hypotensive),1.1,10.510204081632653,110.46438983756767,46.0,26.0,1.7692307692307692,0,1,0
Kim 2014 (normotensive),2.1,8.979591836734693,80.63306955435235,48.0,28.0,1.7142857142857142,0,1,0
Lermuzeaux 2016,1.7,3.8775510204081636,15.035401915868391,100.0,25.0,4.0,0,1,0
Liu 2014,0.9,1.326530612244898,1.7596834652228242,84.0,21.0,4.0,0,0,0
Maniscalco 2008,-1.4,1.2755102040816326,1.626926280716368,55.0,35.0,1.5714285714285714,0,0,1
McBride 2002,2.1,4.200000000000001,17.640000000000008,57.0,30.0,1.9,0,0,0
McVicar 2009,0.15,3.443877551020408,11.860292586422323,51.0,51.0,1.0,0,1,0
Mukhopadhyay 2016,-7.2,8.16326530612245,66.63890045814244,774.0,52.0,14.884615384615385,0,0,0
Nicolini 2011,0.77,2.2806122448979598,5.201192211578512,80.0,80.0,1.0,0,1,0
Nishiyama 2006 (chest),0.47,4.678571428571429,21.889030612244902,60.0,15.0,4.0,0,0,0
Nishiyama 2011 (chest),1.18,2.7474489795918373,7.5484758954602285,40.0,10.0,4.0,0,0,0
Oshibuchi 2003 (two lung ventilation),-1.4,4.3005102040816325,18.494388015410244,26.0,26.0,1.0,0,0,0
Parker 2007,-0.3,5.012755102040817,25.12771371303624,48.0,48.0,1.0,0,0,0
Perrin 2011,-0.13,1.9540816326530612,3.8184350270720535,24.0,24.0,1.0,0,1,0
Peschanski 2016,8.4,14.23469387755102,202.6265097875885,64.0,64.0,1.0,0,1,0
Piquilloud 2013,-1.4,4.438775510204081,19.7027280299875,20.0,20.0,1.0,0,1,0
Rodriguez 2006,-0.2,4.693877551020408,22.03248646397334,168.0,50.0,3.36,1,0,0
Roediger 2011 (ear),-1.1,2.2704081632653064,5.154753227821742,296.0,20.0,14.8,1,0,0
Rosier 2014,-0.75,6.234693877551021,38.871407746772185,82.0,25.0,3.28,1,0,0
Ruiz 2016,4.9,4.336734693877551,18.807267805081214,81.0,81.0,1.0,0,1,0
Sandberg 2011,-3.0,10.5,110.25,60.0,46.0,1.3043478260869565,0,0,0
SchafrothTí_rí_k 2008,-0.86,3.48,12.1104,19.0,19.0,1.0,0,0,0
Senn 2005,-3.0,3.5714285714285716,12.755102040816327,80.0,18.0,4.444444444444445,1,0,0
Simon 2003 (steady state),6.675,0.535714285714286,0.2869897959183677,135.0,15.0,9.0,0,0,0
Stege 2009,-0.225,2.8316326530612246,8.01814348188255,101.0,12.0,8.416666666666666,0,0,0
Storre 2007,4.6,4.387755102040816,19.252394835485212,250.0,10.0,25.0,0,1,0
Tingay 2005,-0.975,5.325,28.355625000000003,21.0,21.0,1.0,0,0,0
Tobias 2003 (two lung ventilation),-2.3,1.4,1.9599999999999997,15.0,15.0,1.0,0,0,0
Tonelli 2015,-3.1,6.071428571428572,36.862244897959194,29.0,29.0,1.0,0,0,0
Tschupp 2003,-0.23,2.834183673469388,8.032597094960435,40.0,20.0,2.0,0,0,0
Urbano 2010,0.4,6.63265306122449,43.9920866305706,62.0,41.0,1.5121951219512195,0,0,0
Vivien 2006,8.6,7.040816326530612,49.573094543940016,80.0,20.0,4.0,1,0,0
Xue 2010,-0.9,6.4,40.96000000000001,48.0,16.0,3.0,0,0,0
Zhang 2015 (two lung ventilation),-4.1,3.316326530612245,10.99802165764265,18.0,18.0,1.0,0,0,0
vanOppen 2015,-2.33,6.086734693877551,37.04833923365264,34.0,10.0,3.4,1,0,0
